obj.-name    obj.-code   obj.discr.


студент      student     студент

викладач     teacher     викладач

методичка    meth        методичні вказівки, текст лекції

лекція       lection     текст лекції

конспект     notes       конспект студента
 
самостійна   test        самостійна робота у кінці пари

диджей       dj          диджей

песня        song        песня

плейлист     playlist    список песен

слушатель    listener     слушатель

оценивание   evaluation   оценка работы

все очень плохо
